Jour,Date,Heure,KwH Restant,Achat KwH
Lundi,18-01-2021,9:00,99.15,0
Mardi,19-01-2021,8:00,34.8,0
Mardi,19-01-2021,16:00,15.95,0
Jeudi,21-01-2021,10:30,100,100
Jeudi,21-01-2021,17:30,18.36,0
Vendredi,22-01-2021,11:30,500,500
Vendredi,22-01-2021,16:00,442.65,0
Samedi,23-01-2021,8:00,380,0
Samedi,23-01-2021,12:45,335.16,0
Lundi,25-01-2021,8:00,178.5,0
Lundi,25-01-2021,16:30,685.54,600
Mardi,26-01-2021,8:00,612.97,0
Mardi,26-01-2021,16:45,536.52,0
Mercredi,27-01-2021,8:00,458.74,0
Mercredi,27-01-2021,16:30,374.1,0
Jeudi,28-01-2021,8:00,304.39,0
Jeudi,28-01-2021,18:30,211.16,0
Vendredi,29-01-2021,8:00,150.68,0
Vendredi,29-01-2021,18:02,668.25,600
Samedi,30-01-2021,8:00,584.39,0
Samedi,30-01-2021,13:00,543.08,0
Lundi,01-02-2021,8:00,362.04,0
Lundi,01-02-2021,16:30,285.56,0
Mardi,02-02-2021,8:00,220.98,0
Mardi,02-02-2021,17:00,125.23,0
Mercredi,03-02-2021,8:00,53.66,0
Mercredi,03-02-2021,17:00,570.68,600
Jeudi,04-02-2021,8:00,492.07,0
Jeudi,04-02-2021,17:00,373.23,0
Vendredi,05-02-2021,8:00,268.99,0
Vendredi,05-02-2021,16:30,181.6,0
Samedi,06-02-2021,8:00,96.23,0
Samedi,06-02-2021,15:45,651.05,600
Lundi,08-02-2021,8:00,490.58,0
Lundi,08-02-2021,17:00,405.82,0
Mardi,09-02-2021,8:00,350.28,0
Mardi,09-02-2021,18:00,288.6,0
Mercredi,10-02-2021,8:00,243.53,0
Mercredi,10-02-2021,16:00,160.75,0
Jeudi,11-02-2021,8:00,79.1,0
Jeudi,11-02-2021,16:30,608.87,600
Vendredi,12-02-2021,8:00,532.88,0
Vendredi,12-02-2021,17:00,450.02,0
Samedi,13-02-2021,8:00,369.53,0
Samedi,13-02-2021,15:00,325.5,0
Lundi,15-02-2021,8:00,136.31,0
Lundi,15-02-2021,18:00,632.02,600
Mardi,16-02-2021,8:00,565.1,0
Mardi,16-02-2021,17:00,463.02,0
Mercredi,17-02-2021,8:00,385.32,0
Mercredi,17-02-2021,16:00,281.93,0
Jeudi,18-02-2021,9:00,152.36,0
Jeudi,18-02-2021,16:15,654.14,600
Vendredi,19-02-2021,8:00,567.99,0
Vendredi,19-02-2021,16:20,469.75,0
Samedi,20-02-2021,8:20,352.53,0
Lundi,22-02-2021,8:00,55.53,0
Lundi,22-02-2021,16:45,609.02,600
Mardi,23-02-2021,8:00,526.53,0
Mardi,23-02-2021,16:00,435.22,0
Mercredi,24-02-2021,8:30,348.99,0
Mercredi,24-02-2021,16:00,245.25,0
Jeudi,25-02-2021,9:00,166.84,0
Jeudi,25-02-2021,16:30,103.25,0
Vendredi,26-02-2021,9:00,603.09,600
Vendredi,26-02-2021,17:00,507.01,0
Samedi,27-02-2021,8:00,414.03,0
Samedi,27-02-2021,12:00,376.09,0
Lundi,01-03-2021,8:00,187.17,0
Mardi,02-03-2021,9:00,183.02,0
Mardi,02-03-2021,16:00,81.01,0
Mercredi,03-03-2021,9:00,6.51,0
Mercredi,03-03-2021,13:00,606.51,600
Mercredi,03-03-2021,17:30,581.07,0
Jeudi,04-03-2021,9:00,498.01,0
Jeudi,04-03-2021,16:00,437.92,0
Vendredi,05-03-2021,8:30,350.38,0
Vendredi,05-03-2021,17:00,260.62,0
Samedi,06-03-2021,8:00,193.63,0
Samedi,06-03-2021,16:00,150.75,0
Dimanche,07-03-2021,13:00,57.96,0
Lundi,08-03-2021,8:00,2.96,0
Lundi,08-03-2021,11:40,603.09,600
Lundi,08-03-2021,17:00,574.55,0
Mardi,09-03-2021,8:30,495.13,0
Mardi,09-03-2021,18:15,406.16,0
Mercredi,10-03-2021,8:30,332.13,0
Mercredi,10-03-2021,15:00,267.97,0
Jeudi,11-03-2021,8:00,171.95,0
Jeudi,11-03-2021,16:15,100.99,0
Vendredi,12-03-2021,8:30,6.16,0
Vendredi,12-03-2021,12:00,605.86,600
Vendredi,12-03-2021,16:30,565.84,0
Samedi,13-03-2021,9:20,462.95,0
Dimanche,14-03-2021,8:00,339.33,0
Dimanche,14-03-2021,17:00,306.17,0
